t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
747.03,28594,7623260,39,2
747.55,28905,7775044,39,2
748.07,29215,7849540,39,2
748.59,29529,7849540,39,2
749.11,29841,7849540,39,2
749.63,30153,7849540,39,2
750.15,30463,7849540,39,2
750.67,30777,7849540,39,2
751.19,31089,7849540,39,2
751.71,31401,7849540,39,2
752.23,31713,7849540,39,2
752.74,32023,7849540,39,2
753.26,32335,7849540,39,2
753.78,32644,7849540,39,2
754.30,32956,7849540,39,2
754.82,33268,7849540,39,2
755.34,33580,7849540,39,2
755.86,33892,7849540,39,2
756.38,34204,7849540,39,2
756.90,34516,7849540,39,2
757.42,34826,7849540,39,2
757.94,35138,7849540,39,2
758.45,35448,7849540,39,2
758.97,35757,7849540,39,2
759.49,36069,7849540,39,2
760.01,36381,7849540,39,2
760.53,36691,7849540,39,2
761.05,37005,7849540,39,2
761.57,37317,7849540,39,2
762.09,37627,7849540,39,2
762.60,37939,7849540,39,2
763.12,38250,7849540,39,2
763.64,38562,7849540,39,2
764.16,38872,7849540,39,2
764.68,39184,7849540,39,2
765.20,39496,7849540,39,2
765.72,39808,7849540,39,2
766.24,40120,7849540,39,2
766.76,40432,7849540,39,2
767.28,40744,7849540,39,2
767.80,41056,7849540,39,2
768.32,41368,7849540,39,2
768.84,41680,7849540,39,2
769.36,41992,7849540,39,2
769.88,42304,7849540,39,2
770.40,42616,7849540,39,2
770.92,42928,7849540,39,2
771.44,43240,7849540,39,2
771.96,43549,7849540,39,2
772.48,43864,7849540,39,2
773.00,44178,7849540,39,2
773.52,44488,7849540,39,2
774.04,44802,7849540,39,2
774.56,45112,7849540,39,2
775.08,45421,7849540,39,2
775.60,45733,7849540,39,2
776.12,46045,7849540,39,2
776.64,46357,7850572,39,2
777.16,46669,7850572,39,2
777.68,46982,7850572,39,2
778.20,47293,7850572,39,2
778.72,47607,7850572,39,2
779.24,47919,7850572,39,2
779.76,48231,7850572,39,2
780.28,48543,7850572,39,2
780.80,48853,7850572,39,2
781.32,49165,7850572,39,2
781.84,49477,7850572,39,2
782.35,49787,7850572,39,2
782.87,50099,7850572,39,2
783.40,50413,7850572,39,2
783.92,50725,7850572,39,2
784.44,51037,7850572,39,2
784.96,51349,7850572,39,2
785.48,51663,7850572,39,2
786.00,51975,7850572,39,2
786.52,52285,7850572,39,2
787.04,52597,7850572,39,2
787.55,52906,7850572,39,2
788.07,53216,7850572,39,2
788.59,53530,7850572,39,2
789.11,53842,7850572,39,2
789.63,54154,7850572,39,2
790.15,54466,7850572,39,2
790.67,54776,7850572,39,2
791.19,55088,7850572,39,2
791.71,55400,7850572,39,2
792.23,55712,7850572,39,2
792.75,56024,7850572,39,2
793.27,56334,7850572,39,2
793.78,56646,7850572,39,2
794.30,56958,7850572,39,2
794.82,57270,7850572,39,2
795.34,57582,7850572,39,2
795.86,57894,7850572,39,2
796.38,58205,7850572,39,2
796.90,58515,7850572,39,2
797.42,58827,7850572,39,2
797.94,59139,7850572,39,2
798.46,59451,7850572,39,2
798.98,59763,7850572,39,2
799.50,60075,7850572,39,2
800.02,60387,7850572,39,2
800.55,60701,7852352,39,2
801.08,61021,7852352,39,2
801.61,61341,7852352,39,2
802.14,61658,7852352,39,2
802.67,61975,7852352,39,2
803.19,62291,7852352,39,2
803.72,62608,7852352,39,2
804.25,62926,7852352,39,2
804.78,63243,7852352,39,2
805.31,63559,7852352,39,2
805.84,63879,7852352,39,2
806.36,64193,7852352,39,2
806.89,64512,7852352,39,2
807.42,64827,7852352,39,2
807.95,65148,7852352,39,2
808.48,65467,7852352,39,2
809.01,65784,7852352,39,2
809.54,66103,7852352,39,2
810.07,66418,7852352,39,2
810.60,66737,7852352,39,2
811.13,67056,7852352,39,2
811.66,67375,7852352,39,2
812.19,67692,7852352,39,2
812.72,68011,7852352,39,2
813.25,68328,7852352,39,2
813.78,68648,7852352,39,2
814.31,68964,7852352,39,2
814.84,69284,7852352,39,2
815.37,69601,7852352,39,2
815.90,69921,7852352,39,2
816.43,70238,7852352,39,2
816.96,70555,7852352,39,2
817.49,70874,7852352,39,2
818.02,71191,7852352,39,2
818.55,71508,7852352,39,2
819.08,71825,7852352,39,2
819.60,72142,7852352,39,2
820.13,72459,7852352,39,2
820.66,72776,7852352,39,2
821.19,73093,7852352,39,2
821.71,73411,7852352,39,2
822.24,73727,7852352,39,2
822.77,74047,7852352,39,2
823.30,74361,7852352,39,2
823.83,74680,7852352,39,2
824.36,74998,7852352,39,2
824.89,75315,7852352,39,2
825.42,75631,7852352,39,2
825.95,75950,7852360,39,2
826.47,76267,7852360,39,2
827.00,76584,7852360,39,2
827.53,76903,7852360,39,2
828.06,77221,7852360,39,2
828.60,77540,7852360,39,2
829.13,77859,7852360,39,2
829.66,78176,7852360,39,2
830.18,78493,7852360,39,2
830.71,78810,7852360,39,2
831.24,79127,7852360,39,2
831.77,79444,7852360,39,2
832.30,79761,7852360,39,2
832.82,80078,7852360,39,2
833.35,80398,7852360,39,2
833.88,80714,7852368,39,2
834.41,81034,7852368,39,2
834.94,81351,7852368,39,2
835.47,81670,7852368,39,2
836.00,81987,7852368,39,2
836.53,82306,7852368,39,2
837.06,82622,7852368,39,2
837.59,82939,7852368,39,2
838.11,83255,7852368,39,2
838.64,83572,7852368,39,2
839.17,83886,7852368,39,2
