t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
732.83,20078,7602892,39,2
733.35,20386,7623116,39,2
733.87,20698,7623116,39,2
734.40,21015,7623120,39,2
734.92,21330,7623120,39,2
735.45,21647,7623136,39,2
735.98,21967,7623136,39,2
736.51,22285,7623136,39,2
737.04,22602,7623136,39,2
737.56,22916,7623144,39,2
738.09,23230,7623144,39,2
738.61,23545,7623148,39,2
739.13,23860,7623148,39,2
739.66,24174,7623148,39,2
740.18,24489,7623148,39,2
740.71,24806,7623156,39,2
741.23,25119,7623156,39,2
741.76,25433,7623164,39,2
742.28,25751,7623168,39,2
742.81,26070,7623172,39,2
743.34,26385,7623172,39,2
743.86,26701,7623176,39,2
744.39,27018,7623184,39,2
744.92,27335,7623188,39,2
745.45,27655,7623188,39,2
745.98,27969,7623192,39,2
746.50,28285,7623196,39,2
