t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
2070.78,25377,9980464,39,2
2071.30,25688,10120704,39,2
2071.82,26000,10202468,39,2
2072.35,26312,10202468,39,2
2072.87,26626,10202468,39,2
2073.39,26941,10202468,39,2
2073.91,27253,10202468,39,2
2074.43,27565,10202468,39,2
2074.95,27874,10202468,39,2
2075.47,28186,10202468,39,2
2075.99,28498,10202468,39,2
2076.51,28813,10202468,39,2
2077.04,29127,10202468,39,2
2077.55,29439,10202468,39,2
2078.07,29749,10202468,39,2
2078.59,30061,10202468,39,2
2079.11,30373,10202468,39,2
2079.63,30685,10202468,39,2
2080.15,30994,10202152,39,2
2080.67,31306,10202152,39,2
2081.19,31618,10202152,39,2
2081.71,31933,10202152,39,2
2082.24,32247,10202152,39,2
2082.76,32559,10202152,39,2
2083.28,32871,10202152,39,2
2083.80,33183,10202152,39,2
2084.32,33495,10202152,39,2
2084.84,33807,10202152,39,2
2085.35,34117,10202152,39,2
2085.87,34429,10202152,39,2
2086.39,34741,10201980,39,2
2086.91,35053,10201980,39,2
2087.43,35365,10201980,39,2
2087.95,35674,10201980,39,2
2088.47,35986,10201980,39,2
2088.98,36296,10201980,39,2
2089.51,36608,10201980,39,2
2090.02,36920,10201980,39,2
2090.54,37232,10201980,39,2
2091.06,37544,10201980,39,2
2091.58,37853,10201980,39,2
2092.10,38165,10201980,39,2
2092.62,38480,10201980,39,2
2093.14,38792,10201980,39,2
2093.66,39104,10201980,39,2
2094.18,39416,10201980,39,2
2094.70,39725,10201980,39,2
2095.22,40040,10201980,39,2
2095.75,40352,10201980,39,2
2096.27,40664,10201980,39,2
2096.79,40978,10201980,39,2
2097.31,41292,10201980,39,2
2097.83,41604,10201980,39,2
2098.35,41916,10201980,39,2
2098.87,42228,10201980,39,2
2099.39,42540,10201980,39,2
2099.92,42855,10216812,39,2
2100.44,43167,10216812,39,2
2100.96,43479,10216812,39,2
2101.48,43794,10216640,39,2
2102.00,44106,10216640,39,2
2102.52,44418,10216640,39,2
2103.04,44730,10216640,39,2
2103.56,45042,10216640,39,2
2104.08,45354,10216640,39,2
2104.60,45663,10216640,39,2
2105.12,45975,10216640,39,2
2105.64,46290,10216640,39,2
2106.16,46599,10216640,39,2
2106.68,46914,10216640,39,2
2107.20,47226,10216640,39,2
2107.72,47540,10216640,39,2
2108.24,47850,10216640,39,2
2108.76,48162,10216640,39,2
2109.29,48476,10216640,39,2
2109.81,48788,10216640,39,2
2110.33,49100,10216640,39,2
2110.85,49414,10216640,39,2
2111.37,49726,10216640,39,2
2111.89,50041,10216640,39,2
2112.41,50350,10216640,39,2
2112.93,50662,10216640,39,2
2113.45,50974,10216640,39,2
2113.97,51286,10216640,39,2
2114.49,51598,10216640,39,2
2115.01,51910,10216640,39,2
2115.53,52222,10216640,39,2
2116.05,52534,10216640,39,2
2116.57,52846,10216640,39,2
2117.09,53158,10216640,39,2
2117.61,53470,10216640,39,2
2118.13,53782,10216640,39,2
2118.65,54092,10216640,39,2
2119.17,54406,10216640,39,2
2119.69,54718,10216640,39,2
2120.21,55030,10216640,39,2
2120.73,55342,10216640,39,2
2121.25,55654,10216488,39,2
2121.77,55968,10216488,39,2
2122.29,56280,10216488,39,2
2122.81,56592,10216488,39,2
2123.33,56906,10216488,39,2
2123.86,57221,10218268,39,2
2124.39,57539,10218268,39,2
2124.92,57855,10218268,39,2
2125.45,58172,10218268,39,2
2125.98,58489,10218268,39,2
2126.50,58806,10218276,39,2
2127.03,59123,10218276,39,2
2127.56,59442,10218276,39,2
2128.10,59763,10218276,39,2
2128.62,60080,10218284,39,2
2129.16,60399,10218284,39,2
2129.69,60718,10218284,39,2
2130.22,61035,10218284,39,2
2130.75,61354,10218284,39,2
2131.28,61671,10218292,39,2
2131.80,61988,10218292,39,2
2132.33,62307,10218292,39,2
2132.86,62624,10218292,39,2
2133.39,62942,10218300,39,2
2133.92,63258,10218300,39,2
2134.45,63575,10218308,39,2
2134.98,63895,10218308,39,2
2135.51,64212,10218308,39,2
2136.04,64531,10218308,39,2
2136.57,64850,10218292,39,2
2137.10,65167,10218292,39,2
2137.63,65484,10218292,39,2
2138.16,65803,10218292,39,2
2138.69,66120,10218292,39,2
2139.22,66440,10218300,39,2
2139.75,66759,10218300,39,2
2140.28,67076,10218300,39,2
2140.81,67395,10218300,39,2
2141.34,67712,10218300,39,2
2141.87,68031,10218300,39,2
2142.40,68350,10218300,39,2
2142.93,68668,10218308,39,2
2143.46,68984,10218308,39,2
2143.99,69302,10218308,39,2
2144.52,69619,10218308,39,2
2145.05,69936,10218316,39,2
2145.58,70256,10218316,39,2
2146.11,70575,10218316,39,2
2146.64,70895,10218316,39,2
2147.17,71214,10218324,39,2
2147.70,71528,10218324,39,2
2148.22,71848,10218324,39,2
2148.76,72164,10218324,39,2
2149.28,72482,10218324,39,2
2149.81,72799,10218332,39,2
2150.34,73116,10218332,39,2
2150.87,73432,10218340,39,2
2151.40,73749,10218340,39,2
2151.93,74071,10218340,39,2
2152.46,74391,10219208,39,2
2152.99,74708,10219208,39,2
2153.52,75028,10219208,39,2
2154.06,75350,10219208,39,2
2154.60,75672,10219208,39,2
2155.13,75996,10219208,39,2
2155.66,76313,10219208,39,2
2156.19,76629,10219208,39,2
2156.73,76948,10219208,39,2
2157.25,77268,10219212,39,2
2157.78,77584,10219212,39,2
2158.31,77902,10219212,39,2
2158.84,78220,10219212,39,2
2159.37,78536,10219212,39,2
2159.90,78856,10219212,39,2
2160.43,79173,10219212,39,2
2160.96,79492,10219212,39,2
2161.49,79808,10219208,39,2
