t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
708.89,5716,7572308,39,2
709.40,6025,7580788,39,2
709.92,6337,7580788,39,2
710.45,6652,7582576,39,2
710.97,6966,7582576,39,2
711.50,7281,7582576,39,2
712.02,7595,7582576,39,2
712.55,7910,7582576,39,2
713.07,8227,7582576,39,2
713.60,8542,7582576,39,2
714.12,8856,7582576,39,2
714.65,9174,7582580,39,2
715.17,9489,7582580,39,2
715.70,9803,7582580,39,2
716.22,10117,7582580,39,2
716.75,10432,7582580,39,2
717.27,10749,7582588,39,2
717.81,11068,7582596,39,2
718.33,11385,7582600,39,2
718.86,11699,7582604,39,2
719.38,12013,7582612,39,2
719.91,12332,7582616,39,2
720.43,12647,7582616,39,2
