t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
1080.19,228115,8844716,39,2
1080.71,228389,8923476,39,2
1081.23,228701,8923476,39,2
1081.75,229013,8923476,39,2
1082.27,229325,8923476,39,2
1082.79,229637,8923476,39,2
1083.31,229949,8923476,39,2
1083.83,230262,8923476,39,2
1084.35,230574,8923476,39,2
1084.87,230888,8923476,39,2
1085.39,231200,8923476,39,2
1085.91,231513,8923160,39,2
1086.44,231827,8923160,39,2
1086.96,232140,8923160,39,2
1087.48,232454,8923160,39,2
1088.00,232767,8923160,39,2
1088.52,233079,8923160,39,2
1089.04,233391,8923160,39,2
1089.56,233706,8923160,39,2
1090.09,234018,8923160,39,2
1090.61,234330,8923160,39,2
1091.13,234643,8923160,39,2
1091.65,234958,8923168,39,2
1092.17,235274,8923168,39,2
1092.70,235586,8923168,39,2
1093.22,235901,8923176,39,2
1093.75,236216,8923176,39,2
1094.27,236533,8923176,39,2
1094.79,236848,8923176,39,2
1095.32,237162,8923184,39,2
1095.84,237475,8923184,39,2
1096.36,237789,8923184,39,2
1096.88,238102,8923184,39,2
1097.41,238417,8923192,39,2
1097.93,238732,8923200,39,2
1098.45,239046,8923200,39,2
1098.98,239361,8923200,39,2
1099.51,239678,8923212,39,2
1100.04,239998,8923220,39,2
1100.56,240312,8923220,39,2
1101.09,240630,8923220,39,2
1101.62,240944,8923228,39,2
1102.15,241264,8923228,39,2
1102.68,241583,8923228,39,2
1103.21,241903,8923228,39,2
1103.74,242222,8923228,39,2
1104.27,242541,8923228,39,2
1104.81,242860,8923228,39,2
1105.33,243177,8923228,39,2
1105.86,243495,8923240,39,2
1106.39,243811,8923240,39,2
1106.93,244130,8923248,39,2
1107.46,244453,8923248,39,2
1107.99,244770,8923248,39,2
1108.52,245087,8923252,39,2
1109.05,245407,8923252,39,2
1109.57,245721,8923252,39,2
1110.10,246038,8923252,39,2
1110.63,246355,8923252,39,2
1111.15,246672,8923252,39,2
