t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
2033.51,3023,9926192,39,2
2034.04,3335,9938280,39,2
2034.56,3650,9938280,39,2
2035.09,3965,9940256,39,2
2035.62,4284,9940256,39,2
2036.15,4605,9939560,39,2
2036.68,4919,9939560,39,2
2037.21,5240,9939560,39,2
2037.74,5560,9939560,39,2
2038.27,5876,9939560,39,2
2038.80,6197,9939568,39,2
2039.33,6513,9939568,39,2
2039.86,6830,9939568,39,2
2040.38,7145,9939568,39,2
2040.91,7459,9939568,39,2
2041.44,7780,9939144,39,2
2041.98,8100,9939144,39,2
2042.51,8421,9939152,39,2
2043.03,8735,9939152,39,2
2043.56,9054,9939156,39,2
2044.10,9374,9939156,39,2
2044.63,9694,9939160,39,2
2045.16,10013,9939168,39,2
2045.68,10330,9939180,39,2
2046.21,10646,9939180,39,2
2046.74,10963,9939180,39,2
