t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
839.58,84127,7852780,39,2
840.10,84362,8148848,39,2
840.62,84674,8148848,39,2
841.14,84986,8148848,39,2
841.66,85298,8148848,39,2
842.18,85610,8148848,39,2
842.70,85922,8148848,39,2
843.22,86234,8148848,39,2
843.74,86546,8148848,39,2
844.25,86855,8148848,39,2
844.77,87167,8148848,39,2
845.29,87479,8148848,39,2
845.82,87794,8148848,39,2
846.33,88103,8148848,39,2
846.85,88415,8148848,39,2
847.38,88730,8148848,39,2
847.90,89042,8148848,39,2
848.42,89354,8148848,39,2
848.94,89666,8148848,39,2
849.46,89978,8148848,39,2
849.98,90290,8148848,39,2
850.50,90602,8148848,39,2
851.01,90911,8148848,39,2
851.54,91226,8148848,39,2
852.05,91538,8148848,39,2
852.57,91847,8148848,39,2
853.09,92162,8148848,39,2
853.62,92474,8148848,39,2
854.14,92786,8148848,39,2
854.65,93095,8148848,39,2
855.17,93407,8148848,39,2
855.69,93719,8148848,39,2
856.21,94029,8148848,39,2
856.73,94341,8148848,39,2
857.25,94653,8148848,39,2
857.77,94965,8148848,39,2
858.29,95277,8148848,39,2
858.81,95589,8148848,39,2
859.33,95901,8148848,39,2
859.85,96213,8148848,39,2
860.37,96525,8148848,39,2
860.89,96837,8148848,39,2
861.41,97146,8148848,39,2
861.93,97458,8148848,39,2
862.45,97773,8148848,39,2
862.97,98085,8148848,39,2
863.49,98399,8148848,39,2
864.01,98709,8148848,39,2
864.53,99021,8148848,39,2
865.05,99335,8148848,39,2
865.57,99645,8148848,39,2
866.09,99959,8148848,39,2
866.61,100271,8148848,39,2
867.13,100581,8148848,39,2
867.65,100893,8148848,39,2
868.17,101205,8148848,39,2
868.69,101514,8148848,39,2
869.21,101829,8148884,39,2
869.73,102143,8148884,39,2
870.25,102453,8148884,39,2
870.77,102765,8148884,39,2
871.29,103079,8148884,39,2
871.81,103391,8148884,39,2
872.33,103703,8148884,39,2
872.85,104013,8148504,39,2
873.37,104324,8148504,39,2
873.89,104636,8148504,39,2
874.41,104948,8148504,39,2
874.93,105258,8148504,39,2
875.45,105572,8148504,39,2
875.97,105887,8148504,39,2
876.49,106196,8148504,39,2
877.01,106508,8148504,39,2
877.53,106820,8148504,39,2
878.05,107132,8148504,39,2
878.57,107444,8148504,39,2
879.09,107756,8148504,39,2
879.61,108068,8148504,39,2
880.13,108378,8148504,39,2
880.65,108692,8148504,39,2
881.17,109002,8148504,39,2
881.69,109314,8148504,39,2
882.20,109626,8148504,39,2
882.72,109938,8148504,39,2
883.24,110247,8148504,39,2
883.76,110559,8148504,39,2
884.28,110871,8148504,39,2
884.80,111183,8148504,39,2
885.32,111495,8148504,39,2
885.84,111807,8148504,39,2
886.36,112117,8148504,39,2
886.88,112429,8148504,39,2
887.40,112741,8148504,39,2
887.92,113053,8148504,39,2
888.43,113363,8148504,39,2
888.95,113675,8148504,39,2
889.48,113989,8148504,39,2
889.99,114299,8148504,39,2
890.51,114611,8148504,39,2
891.03,114923,8148504,39,2
891.56,115237,8148504,39,2
892.08,115549,8148504,39,2
892.60,115861,8148504,39,2
893.12,116173,8148504,39,2
893.64,116487,8150284,39,2
894.17,116808,8150284,39,2
894.70,117124,8150284,39,2
895.23,117444,8150284,39,2
895.76,117761,8150284,39,2
896.29,118075,8150284,39,2
896.82,118392,8150284,39,2
897.34,118709,8150284,39,2
897.88,119028,8150284,39,2
898.41,119347,8150284,39,2
898.93,119664,8150288,39,2
899.46,119981,8150288,39,2
899.99,120299,8150288,39,2
900.52,120615,8150288,39,2
901.04,120930,8150288,39,2
901.57,121247,8150288,39,2
902.10,121563,8150288,39,2
902.63,121883,8150288,39,2
903.16,122201,8150288,39,2
903.69,122518,8150292,39,2
904.22,122835,8150292,39,2
904.74,123151,8150292,39,2
905.27,123468,8150292,39,2
905.80,123785,8150292,39,2
906.33,124102,8150292,39,2
906.85,124418,8150292,39,2
907.38,124735,8150292,39,2
907.92,125055,8150292,39,2
908.44,125373,8150292,39,2
908.97,125687,8150296,39,2
909.49,126004,8150296,39,2
910.02,126319,8150296,39,2
910.55,126637,8150296,39,2
911.08,126954,8150296,39,2
911.61,127271,8150296,39,2
912.14,127590,8150296,39,2
912.67,127907,8150296,39,2
913.20,128225,8150296,39,2
913.72,128542,8150296,39,2
914.25,128859,8150300,39,2
914.78,129176,8150300,39,2
915.31,129494,8150300,39,2
915.84,129813,8150300,39,2
916.37,130129,8150300,39,2
916.90,130446,8150300,39,2
917.43,130765,8150300,39,2
917.95,131080,8150300,39,2
918.49,131399,8150300,39,2
919.01,131716,8150304,39,2
919.54,132030,8150304,39,2
920.07,132349,8150304,39,2
920.60,132669,8150304,39,2
921.13,132987,8150304,39,2
921.66,133304,8150304,39,2
922.18,133620,8150304,39,2
922.71,133937,8150304,39,2
923.24,134256,8150304,39,2
923.77,134573,8150304,39,2
924.30,134893,8150312,39,2
924.83,135207,8150312,39,2
925.36,135524,8150312,39,2
925.88,135842,8150312,39,2
926.41,136158,8150312,39,2
926.94,136479,8150312,39,2
927.47,136796,8150312,39,2
928.00,137115,8150312,39,2
928.53,137429,8150312,39,2
929.05,137746,8150312,39,2
929.58,138060,8150316,39,2
930.11,138377,8150316,39,2
930.63,138694,8150332,39,2
931.16,139011,8150332,39,2
931.69,139331,8150332,39,2
932.22,139648,8150332,39,2
932.75,139962,8150332,39,2
