t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
720.90,12924,7582668,39,2
721.42,13233,7602792,39,2
721.94,13545,7602792,39,2
722.47,13865,7602796,39,2
723.00,14179,7602796,39,2
723.53,14496,7602796,39,2
724.06,14813,7602796,39,2
724.58,15130,7602796,39,2
725.11,15445,7602796,39,2
725.63,15759,7602796,39,2
726.16,16076,7602796,39,2
726.69,16393,7602800,39,2
727.21,16707,7602808,39,2
727.73,17023,7602816,39,2
728.26,17338,7602816,39,2
728.79,17655,7602816,39,2
729.31,17969,7602816,39,2
729.83,18284,7602816,39,2
730.36,18601,7602828,39,2
730.89,18917,7602832,39,2
731.42,19234,7602832,39,2
731.94,19549,7602836,39,2
732.47,19867,7602836,39,2
