t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
1031.13,198759,8741336,39,2
1031.65,199074,8741592,39,2
1032.17,199386,8741592,39,2
1032.69,199696,8741592,39,2
1033.21,200010,8741592,39,2
1033.74,200324,8741592,39,2
1034.26,200638,8741716,39,2
1034.78,200950,8741716,39,2
1035.30,201265,8741716,39,2
1035.82,201577,8741716,39,2
1036.34,201888,8741716,39,2
1036.86,202201,8741716,39,2
1037.39,202515,8741716,39,2
1037.91,202828,8741716,39,2
1038.43,203143,8741716,39,2
1038.96,203459,8741724,39,2
1039.48,203771,8741732,39,2
1040.00,204086,8741732,39,2
1040.52,204398,8741740,39,2
1041.04,204713,8741740,39,2
1041.57,205025,8741748,39,2
1042.09,205337,8741748,39,2
1042.61,205652,8741748,39,2
1043.13,205965,8741748,39,2
1043.65,206277,8741756,39,2
1044.17,206592,8741760,39,2
1044.70,206907,8741760,39,2
1045.22,207221,8741768,39,2
1045.74,207537,8741768,39,2
1046.27,207849,8741776,39,2
1046.79,208164,8741776,39,2
1047.31,208479,8741776,39,2
1047.84,208793,8741776,39,2
1048.37,209110,8741776,39,2
1048.89,209423,8741796,39,2
1049.41,209738,8741804,39,2
1049.93,210050,8741812,39,2
1050.45,210365,8741812,39,2
1050.98,210680,8741824,39,2
1051.50,210995,8741832,39,2
1052.02,211307,8741832,39,2
1052.55,211621,8741832,39,2
1053.07,211938,8741836,39,2
1053.59,212250,8741852,39,2
1054.11,212565,8741860,39,2
1054.63,212877,8741864,39,2
1055.15,213189,8741864,39,2
1055.68,213504,8741864,39,2
1056.20,213817,8741872,39,2
1056.72,214129,8741876,39,2
1057.24,214444,8741876,39,2
1057.76,214759,8741880,39,2
1058.28,215070,8741888,39,2
1058.82,215387,8741916,39,2
