batch_id,config,prompt_size,rep,num_ctx,concorrencia,ts_iso,wall_s,cpu_s,cores_medio,cores_pico,rss_pico_mb,threads_pico,procs_pico,vazao_req_s,amostras,modelo,ollama_ver,num_predict,keep_alive
1,padrao,short,1,4096,1,2026-09-15T13:49:21-03:00,12.57,48.380,3.84,4.06,7412.7,30,2,.0795,24,qwen3:8b,ollama version is 0.34.0,256,10m
2,padrao,short,2,4096,1,2026-09-15T13:49:34-03:00,12.97,50.470,3.89,4.06,7432.4,30,2,.0771,25,qwen3:8b,ollama version is 0.34.0,256,10m
3,padrao,short,3,4096,1,2026-09-15T13:49:47-03:00,15.12,58.860,3.89,4.06,7452.1,30,2,.0661,29,qwen3:8b,ollama version is 0.34.0,256,10m
4,padrao,long,1,4096,1,2026-09-15T13:50:02-03:00,108.07,431.100,3.98,4.10,7673.6,30,2,.0092,207,qwen3:8b,ollama version is 0.34.0,256,10m
5,padrao,long,2,4096,1,2026-09-15T13:51:50-03:00,107.60,428.100,3.97,4.12,7953.2,30,2,.0092,206,qwen3:8b,ollama version is 0.34.0,256,10m
6,padrao,long,3,4096,1,2026-09-15T13:53:38-03:00,109.46,436.440,3.98,4.10,8238.5,30,2,.0091,210,qwen3:8b,ollama version is 0.34.0,256,10m
7,concorrencia,short,1,4096,4,2026-09-15T13:55:29-03:00,24.46,96.190,3.93,4.10,8528.1,30,2,.1635,47,qwen3:8b,ollama version is 0.34.0,256,10m
8,concorrencia,short,2,4096,4,2026-09-15T13:55:53-03:00,29.71,116.950,3.93,4.08,8603.1,30,2,.1346,57,qwen3:8b,ollama version is 0.34.0,256,10m
9,concorrencia,short,3,4096,4,2026-09-15T13:56:23-03:00,33.53,133.630,3.98,4.06,8684.9,30,2,.1192,65,qwen3:8b,ollama version is 0.34.0,256,10m
10,concorrencia,long,1,4096,4,2026-09-15T13:56:57-03:00,352.28,1408.330,3.99,4.08,8784.2,30,2,.0113,676,qwen3:8b,ollama version is 0.34.0,256,10m
11,concorrencia,long,2,4096,4,2026-09-15T14:02:50-03:00,355.78,1417.600,3.98,4.08,9702.8,30,2,.0112,682,qwen3:8b,ollama version is 0.34.0,256,10m
12,concorrencia,long,3,4096,4,2026-09-15T14:08:46-03:00,358.58,1421.730,3.96,4.08,10171.0,30,2,.0111,687,qwen3:8b,ollama version is 0.34.0,256,10m
13,contexto_longo,short,1,8192,1,2026-09-15T14:15:00-03:00,14.87,58.910,3.96,4.08,9708.8,30,2,.0672,29,qwen3:8b,ollama version is 0.34.0,256,10m
14,contexto_longo,short,2,8192,1,2026-09-15T14:15:14-03:00,10.98,41.910,3.81,4.10,9730.6,30,2,.0910,21,qwen3:8b,ollama version is 0.34.0,256,10m
15,contexto_longo,short,3,8192,1,2026-09-15T14:15:26-03:00,14.17,54.610,3.85,4.06,9748.9,30,2,.0705,27,qwen3:8b,ollama version is 0.34.0,256,10m
16,contexto_longo,long,1,8192,1,2026-09-15T14:15:40-03:00,109.67,437.130,3.98,4.10,9983.7,30,2,.0091,210,qwen3:8b,ollama version is 0.34.0,256,10m
17,contexto_longo,long,2,8192,1,2026-09-15T14:17:30-03:00,109.74,436.690,3.97,4.08,10269.3,30,2,.0091,210,qwen3:8b,ollama version is 0.34.0,256,10m
18,contexto_longo,long,3,8192,1,2026-09-15T14:19:19-03:00,108.97,434.680,3.98,4.10,10545.9,30,2,.0091,209,qwen3:8b,ollama version is 0.34.0,256,10m
