batch_id,config,prompt_size,rep,req_index,http_status,client_elapsed_s,ttft_s,total_duration_ns,load_duration_ns,prompt_eval_count,prompt_eval_duration_ns,eval_count,eval_duration_ns,tokens_per_second,done_reason,resp_chars,erro
1,padrao,short,1,1,200,12.54,1.7885,12524453451,1279207,51,1787245000,89,10732473000,8.2926,stop,343,
2,padrao,short,2,1,200,12.95,1.6598,12921820228,1372852,51,1658448000,89,11239144000,7.9187,stop,343,
3,padrao,short,3,1,200,15.10,1.7453,15088558580,1128705,51,1744269000,108,13322626000,8.1065,stop,414,
4,padrao,long,1,1,200,108.04,65.8211,108029333883,1184459,1794,65819982999,256,42173899000,6.0701,length,1018,
5,padrao,long,2,1,200,107.58,65.2085,107559679777,925043,1794,65207648000,256,42055306000,6.0872,length,1006,
6,padrao,long,3,1,200,109.45,66.2432,109425461650,922663,1794,66242315000,256,42829902000,5.9771,length,992,
7,concorrencia,short,1,1,200,24.30,1.6258,24284223362,2081765,52,1623810000,83,22653829000,3.6638,stop,323,
7,concorrencia,short,1,2,200,24.30,4.8824,24277649273,868389,52,4881540000,82,17771288000,4.6142,stop,329,
7,concorrencia,short,1,3,200,24.42,4.8829,24416194370,605022,52,4882370000,83,17909560000,4.6344,stop,323,
7,concorrencia,short,1,4,200,23.02,4.8847,23009976807,2513286,52,4882199000,78,16497964000,4.7278,stop,313,
8,concorrencia,short,2,1,200,24.61,6.3771,24601752534,719817,52,6376457000,85,18124012000,4.6899,stop,325,
8,concorrencia,short,2,2,200,29.68,6.3792,29670884247,2104232,52,6377188000,125,23193120000,5.3895,stop,478,
8,concorrencia,short,2,3,200,24.10,6.3787,24090146597,1989292,52,6376713000,83,17612061000,4.7126,stop,323,
8,concorrencia,short,2,4,200,23.49,6.3784,23476454405,1514726,52,6376935000,81,16999196000,4.7649,stop,318,
9,concorrencia,short,3,1,200,33.50,6.4105,33492633716,1526885,52,6409022000,126,26960112000,4.6735,stop,477,
9,concorrencia,short,3,2,200,33.25,6.4108,33240958679,1514260,52,6409308000,124,26709027000,4.6426,stop,474,
9,concorrencia,short,3,3,200,30.35,6.4109,30340614979,2224805,52,6408701000,111,23806806000,4.6625,stop,436,
9,concorrencia,short,3,4,200,33.25,6.4103,33239889945,821020,52,6409543000,124,26708870000,4.6426,stop,474,
10,concorrencia,long,1,1,200,351.92,113.4838,351896879268,1024863,1796,113482782000,256,126478797000,2.0240,length,1015,
10,concorrencia,long,1,2,200,351.46,113.2388,351434462500,690583,1796,113238138000,256,201460309000,1.2707,length,988,
10,concorrencia,long,1,3,200,350.83,74.3622,350808782361,727390,1796,74361480000,256,276326407000,.9264,length,1036,
10,concorrencia,long,1,4,200,352.26,76.4157,352246549576,1180428,1796,76414526000,256,87496044000,2.9258,length,1040,
11,concorrencia,long,2,1,200,355.77,76.2993,355746597035,2402222,1796,76296928000,256,88074678000,2.9066,length,1040,
11,concorrencia,long,2,2,200,354.48,75.8884,354446047491,2042694,1796,75886359000,256,276854691000,.9246,length,981,
11,concorrencia,long,2,3,200,355.59,113.5898,355572890237,1694927,1796,113588109000,256,126825503000,2.0185,length,963,
11,concorrencia,long,2,4,200,355.13,114.6668,355103143125,3001032,1796,114663835000,256,202019024000,1.2672,length,953,
12,concorrencia,long,3,1,200,358.57,76.1301,358535485571,2629178,1796,76127565000,256,89234481000,2.8688,length,988,
12,concorrencia,long,3,2,200,358.39,113.9295,358356320665,2071784,1796,113927496000,256,127742654000,2.0040,length,968,
12,concorrencia,long,3,3,200,357.94,114.7641,357900126925,1875390,1796,114762296000,256,202991645000,1.2611,length,949,
12,concorrencia,long,3,4,200,357.27,75.9338,357232406053,1319617,1796,75932486000,256,278421499000,.9194,length,1003,
13,contexto_longo,short,1,1,200,14.85,1.8004,14842098178,1229382,53,1799249000,101,13036839000,7.7472,stop,379,
14,contexto_longo,short,2,1,200,10.96,1.6008,10944574819,1154833,53,1599673000,75,9320954000,8.0464,stop,292,
15,contexto_longo,short,3,1,200,14.15,1.7579,14141530347,1226906,53,1756755000,100,12364344000,8.0878,stop,378,
16,contexto_longo,long,1,1,200,109.64,66.6200,109628128878,1304078,1796,66618763000,256,42979360000,5.9563,length,986,
17,contexto_longo,long,2,1,200,109.72,66.2095,109703276715,1607386,1796,66207897000,256,43248623000,5.9192,length,1002,
18,contexto_longo,long,3,1,200,108.94,65.7095,108922571808,902763,1796,65708626999,256,42946813000,5.9608,length,996,
