t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
11409.71,20318,7631036,30,2
11410.23,20513,7755544,30,2
11410.75,20722,7856496,30,2
11411.27,20930,7856496,30,2
11411.79,21138,7856496,30,2
11412.31,21346,7856496,30,2
11412.83,21554,7856496,30,2
11413.35,21762,7856496,30,2
11413.87,21970,7856496,30,2
11414.39,22178,7856496,30,2
11414.91,22386,7856496,30,2
11415.43,22595,7856496,30,2
11415.96,22803,7856496,30,2
11416.48,23013,7856496,30,2
11417.00,23221,7856496,30,2
11417.52,23429,7856496,30,2
11418.04,23637,7856496,30,2
11418.56,23845,7856496,30,2
11419.08,24053,7856496,30,2
11419.60,24261,7856496,30,2
11420.12,24469,7856496,30,2
11420.64,24676,7856496,30,2
11421.16,24884,7856496,30,2
11421.68,25092,7856496,30,2
11422.20,25300,7856496,30,2
11422.72,25508,7856496,30,2
11423.24,25716,7856496,30,2
11423.76,25924,7856496,30,2
11424.28,26132,7856496,30,2
11424.80,26340,7856496,30,2
11425.32,26548,7856496,30,2
11425.84,26756,7856496,30,2
11426.36,26964,7856496,30,2
11426.88,27172,7856496,30,2
11427.40,27380,7856496,30,2
11427.92,27588,7856496,30,2
11428.44,27797,7856496,30,2
11428.96,28005,7856496,30,2
11429.48,28213,7856496,30,2
11430.00,28421,7856496,30,2
11430.53,28629,7856496,30,2
11431.05,28839,7856496,30,2
11431.57,29047,7856496,30,2
11432.09,29255,7856496,30,2
11432.61,29462,7856496,30,2
11433.13,29670,7856496,30,2
11433.65,29880,7856496,30,2
11434.17,30088,7856496,30,2
11434.69,30296,7856496,30,2
11435.21,30504,7856496,30,2
11435.73,30712,7856496,30,2
11436.25,30920,7856496,30,2
11436.77,31129,7856496,30,2
11437.30,31337,7856496,30,2
11437.82,31549,7856496,30,2
11438.34,31757,7856496,30,2
11438.86,31965,7856496,30,2
11439.38,32173,7856496,30,2
11439.90,32381,7856496,30,2
11440.43,32589,7856496,30,2
11440.94,32796,7856496,30,2
11441.46,33004,7856496,30,2
11441.98,33212,7856496,30,2
11442.50,33420,7856496,30,2
11443.03,33628,7856496,30,2
11443.55,33836,7856496,30,2
11444.07,34044,7856496,30,2
11444.59,34254,7856496,30,2
11445.11,34462,7856496,30,2
11445.63,34670,7856496,30,2
11446.15,34878,7856496,30,2
11446.67,35086,7857528,30,2
11447.19,35294,7857528,30,2
11447.71,35502,7857528,30,2
11448.23,35711,7857528,30,2
11448.75,35919,7857528,30,2
11449.27,36127,7857528,30,2
11449.79,36335,7857528,30,2
11450.31,36543,7857528,30,2
11450.83,36751,7857528,30,2
11451.35,36959,7857528,30,2
11451.88,37169,7857528,30,2
11452.40,37377,7857528,30,2
11452.92,37585,7857528,30,2
11453.44,37793,7857528,30,2
11453.95,38001,7857528,30,2
11454.47,38209,7857528,30,2
11454.99,38416,7857528,30,2
11455.51,38624,7857528,30,2
11456.04,38832,7857528,30,2
11456.56,39040,7857528,30,2
11457.08,39248,7857528,30,2
11457.60,39456,7857528,30,2
11458.12,39664,7857528,30,2
11458.64,39874,7857528,30,2
11459.16,40082,7857528,30,2
11459.68,40291,7857528,30,2
11460.20,40499,7857528,30,2
11460.72,40707,7857528,30,2
11461.24,40915,7857528,30,2
11461.76,41123,7857528,30,2
11462.29,41331,7857528,30,2
11462.81,41539,7857528,30,2
11463.33,41747,7857528,30,2
11463.84,41955,7857528,30,2
11464.36,42163,7857528,30,2
11464.88,42371,7857528,30,2
11465.40,42579,7857528,30,2
11465.92,42787,7857528,30,2
11466.44,42995,7857528,30,2
11466.96,43203,7857528,30,2
11467.48,43411,7857528,30,2
11468.00,43619,7857528,30,2
11468.52,43827,7857528,30,2
11469.04,44035,7857528,30,2
11469.56,44243,7857528,30,2
11470.08,44451,7857716,30,2
11470.61,44659,7857716,30,2
11471.13,44868,7857716,30,2
11471.65,45076,7857716,30,2
11472.17,45284,7857716,30,2
11472.69,45492,7857716,30,2
11473.21,45700,7857716,30,2
11473.73,45908,7857716,30,2
11474.25,46116,7857716,30,2
11474.77,46324,7857716,30,2
11475.29,46534,7857716,30,2
11475.82,46744,7846364,30,2
11476.34,46955,7846364,30,2
11476.87,47166,7846364,30,2
11477.40,47379,7846364,30,2
11477.93,47590,7846364,30,2
11478.46,47801,7846364,30,2
11478.98,48012,7846364,30,2
11479.51,48223,7846364,30,2
11480.04,48434,7846364,30,2
11480.56,48645,7846364,30,2
11481.09,48856,7846364,30,2
11481.62,49067,7846364,30,2
11482.15,49280,7846364,30,2
11482.68,49491,7846364,30,2
11483.21,49703,7846364,30,2
11483.74,49914,7846364,30,2
11484.26,50126,7846364,30,2
11484.79,50337,7846364,30,2
11485.32,50549,7846364,30,2
11485.85,50760,7846364,30,2
11486.38,50971,7846364,30,2
11486.90,51182,7846364,30,2
11487.43,51392,7846364,30,2
11487.96,51603,7846364,30,2
11488.48,51814,7846364,30,2
11489.01,52026,7846364,30,2
11489.54,52237,7846364,30,2
11490.07,52448,7846364,30,2
11490.60,52659,7846364,30,2
