t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
11517.89,63564,7846660,30,2
11518.41,63681,8142320,30,2
11518.93,63889,8142320,30,2
11519.45,64097,8142320,30,2
11519.97,64304,8142320,30,2
11520.49,64512,8142320,30,2
11521.01,64720,8142320,30,2
11521.53,64928,8142320,30,2
11522.05,65138,8142320,30,2
11522.57,65346,8142320,30,2
11523.09,65554,8142320,30,2
11523.61,65762,8142320,30,2
11524.13,65970,8142320,30,2
11524.65,66178,8142320,30,2
11525.17,66386,8142320,30,2
11525.69,66594,8142320,30,2
11526.21,66801,8142320,30,2
11526.73,67009,8142320,30,2
11527.26,67219,8142320,30,2
11527.78,67427,8142320,30,2
11528.29,67635,8142320,30,2
11528.81,67841,8142320,30,2
11529.33,68051,8142320,30,2
11529.85,68259,8142320,30,2
11530.38,68467,8142320,30,2
11530.90,68675,8142320,30,2
11531.42,68884,8142320,30,2
11531.94,69092,8142320,30,2
11532.46,69298,8142320,30,2
11532.98,69506,8142320,30,2
11533.50,69714,8142320,30,2
11534.02,69922,8142320,30,2
11534.54,70132,8142320,30,2
11535.06,70340,8142320,30,2
11535.58,70548,8142320,30,2
11536.10,70756,8142320,30,2
11536.62,70964,8142320,30,2
11537.14,71172,8142320,30,2
11537.66,71380,8142320,30,2
11538.18,71588,8142320,30,2
11538.70,71796,8142320,30,2
11539.22,72004,8142320,30,2
11539.74,72212,8142320,30,2
11540.26,72421,8142320,30,2
11540.78,72629,8142320,30,2
11541.30,72837,8142320,30,2
11541.82,73045,8142320,30,2
11542.34,73253,8142320,30,2
11542.86,73461,8142320,30,2
11543.38,73667,8142320,30,2
11543.90,73875,8142320,30,2
11544.42,74083,8142320,30,2
11544.94,74291,8142320,30,2
11545.46,74499,8142320,30,2
11545.98,74707,8142320,30,2
11546.50,74915,8142320,30,2
11547.02,75123,8142320,30,2
11547.54,75331,8142320,30,2
11548.06,75541,8142320,30,2
11548.59,75750,8142320,30,2
11549.11,75958,8142320,30,2
11549.63,76166,8142320,30,2
11550.15,76374,8142320,30,2
11550.67,76582,8142320,30,2
11551.19,76792,8142320,30,2
11551.71,77000,8142320,30,2
11552.23,77208,8142320,30,2
11552.75,77416,8142320,30,2
11553.27,77624,8142320,30,2
11553.79,77832,8142320,30,2
11554.31,78040,8142320,30,2
11554.83,78249,8142320,30,2
11555.35,78457,8142320,30,2
11555.88,78665,8142320,30,2
11556.40,78873,8142320,30,2
11556.92,79081,8142320,30,2
11557.44,79289,8142320,30,2
11557.95,79497,8142320,30,2
11558.47,79704,8142320,30,2
11558.99,79912,8142320,30,2
11559.51,80120,8142320,30,2
11560.04,80330,8142320,30,2
11560.56,80538,8142320,30,2
11561.07,80746,8142320,30,2
11561.59,80952,8142320,30,2
11562.11,81160,8142320,30,2
11562.63,81368,8142320,30,2
11563.15,81576,8142320,30,2
11563.67,81784,8142320,30,2
11564.19,81992,8142320,30,2
11564.71,82200,8142320,30,2
11565.23,82408,8142320,30,2
11565.75,82616,8142320,30,2
11566.27,82823,8142320,30,2
11566.79,83031,8142320,30,2
11567.31,83241,8142320,30,2
11567.83,83449,8142320,30,2
11568.36,83657,8142320,30,2
11568.88,83865,8142320,30,2
11569.40,84073,8142320,30,2
11569.92,84281,8142320,30,2
11570.44,84489,8142320,30,2
11570.96,84697,8142320,30,2
11571.48,84905,8142320,30,2
11572.00,85113,8142320,30,2
11572.52,85321,8142320,30,2
11573.04,85529,8142320,30,2
11573.56,85736,8142320,30,2
11574.08,85944,8142320,30,2
11574.60,86152,8142320,30,2
11575.12,86360,8142320,30,2
11575.64,86568,8142320,30,2
11576.16,86776,8142320,30,2
11576.68,86984,8142320,30,2
11577.20,87192,8142320,30,2
11577.72,87400,8142320,30,2
11578.24,87608,8142320,30,2
11578.76,87816,8142320,30,2
11579.28,88024,8142320,30,2
11579.80,88232,8142320,30,2
11580.32,88442,8142320,30,2
11580.84,88650,8142320,30,2
11581.36,88859,8142320,30,2
11581.88,89065,8142320,30,2
11582.40,89275,8142320,30,2
11582.92,89483,8142320,30,2
11583.45,89693,8144100,30,2
11583.97,89903,8144100,30,2
11584.50,90114,8144100,30,2
11585.03,90325,8144100,30,2
11585.55,90535,8144100,30,2
11586.08,90746,8144100,30,2
11586.61,90957,8144100,30,2
11587.14,91170,8144100,30,2
11587.67,91381,8144100,30,2
11588.20,91593,8144100,30,2
11588.73,91806,8144100,30,2
11589.26,92018,8144100,30,2
11589.78,92228,8144100,30,2
11590.31,92440,8140328,30,2
11590.84,92649,8140328,30,2
11591.36,92860,8140328,30,2
11591.89,93072,8140328,30,2
11592.42,93283,8140328,30,2
11592.95,93495,8140328,30,2
11593.48,93706,8140328,30,2
11594.00,93915,8140328,30,2
11594.53,94128,8140328,30,2
11595.06,94339,8140328,30,2
11595.59,94550,8140328,30,2
11596.11,94761,8140328,30,2
11596.64,94973,8140328,30,2
11597.17,95184,8140328,30,2
11597.70,95395,8140328,30,2
11598.23,95606,8140328,30,2
11598.75,95818,8140328,30,2
11599.28,96029,8140328,30,2
11599.81,96241,8140328,30,2
11600.34,96452,8140328,30,2
11600.86,96661,8140328,30,2
11601.39,96873,8140328,30,2
11601.91,97082,8140328,30,2
11602.44,97293,8140328,30,2
11602.97,97505,8140328,30,2
11603.50,97717,8140328,30,2
11604.02,97926,8140328,30,2
11604.55,98137,8140328,30,2
11605.08,98350,8140328,30,2
11605.61,98560,8140328,30,2
11606.13,98771,8140328,30,2
11606.66,98982,8140328,30,2
11607.19,99192,8140328,30,2
11607.71,99403,8140328,30,2
11608.24,99614,8140328,30,2
11608.77,99826,8140328,30,2
11609.30,100037,8140328,30,2
11609.82,100249,8140328,30,2
11610.35,100460,8140328,30,2
11610.88,100671,8140328,30,2
11611.41,100883,8140328,30,2
11611.93,101094,8140328,30,2
11612.46,101305,8140328,30,2
11612.99,101515,8140328,30,2
11613.51,101726,8140328,30,2
11614.04,101936,8140328,30,2
11614.57,102148,8140328,30,2
11615.10,102360,8140328,30,2
11615.63,102570,8140328,30,2
11616.16,102781,8140328,30,2
11616.69,102994,8140328,30,2
11617.21,103205,8140328,30,2
11617.75,103419,8140328,30,2
11618.27,103629,8140328,30,2
11618.80,103842,8140328,30,2
11619.33,104053,8140328,30,2
11619.85,104263,8140328,30,2
11620.38,104474,8140328,30,2
11620.91,104685,8140328,30,2
11621.44,104896,8140328,30,2
11621.97,105107,8140328,30,2
11622.49,105319,8140328,30,2
11623.02,105528,8140328,30,2
11623.55,105741,8140328,30,2
11624.08,105951,8140328,30,2
11624.60,106165,8140328,30,2
11625.13,106374,8140328,30,2
