t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
11368.78,3995,7580976,30,2
11369.30,4204,7588844,30,2
11369.82,4412,7588844,30,2
11370.34,4620,7588844,30,2
11370.87,4831,7590624,30,2
11371.39,5040,7590624,30,2
11371.92,5250,7590624,30,2
11372.45,5461,7590624,30,2
11372.97,5671,7590624,30,2
11373.50,5882,7590624,30,2
11374.02,6091,7590624,30,2
11374.55,6303,7590624,30,2
11375.08,6515,7590624,30,2
11375.60,6724,7590624,30,2
11376.13,6935,7590624,30,2
11376.65,7145,7590624,30,2
11377.19,7358,7590624,30,2
11377.71,7568,7590628,30,2
11378.24,7780,7590628,30,2
11378.76,7991,7590628,30,2
11379.29,8201,7590632,30,2
11379.82,8412,7590632,30,2
11380.34,8622,7590636,30,2
11380.87,8833,7590636,30,2
