t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
11791.33,172481,8809608,30,2
11791.85,172650,8893196,30,2
11792.37,172859,8893196,30,2
11792.89,173067,8893196,30,2
11793.42,173277,8893196,30,2
11793.94,173485,8893196,30,2
11794.46,173693,8893196,30,2
11794.98,173901,8893196,30,2
11795.50,174110,8893196,30,2
11796.02,174318,8893196,30,2
11796.54,174526,8893196,30,2
11797.06,174734,8893196,30,2
11797.59,174944,8893196,30,2
11798.11,175153,8893200,30,2
11798.63,175363,8893200,30,2
11799.15,175571,8893200,30,2
11799.67,175781,8893200,30,2
11800.20,175989,8893200,30,2
11800.72,176199,8893200,30,2
11801.24,176408,8893200,30,2
11801.76,176617,8893200,30,2
11802.28,176825,8893200,30,2
11802.81,177034,8893200,30,2
11803.33,177245,8893200,30,2
11803.86,177455,8893200,30,2
11804.38,177663,8893200,30,2
11804.90,177872,8893200,30,2
11805.42,178082,8893204,30,2
11805.94,178292,8893204,30,2
11806.47,178500,8893204,30,2
11806.99,178709,8893212,30,2
11807.51,178920,8893212,30,2
11808.03,179128,8893212,30,2
11808.55,179338,8893220,30,2
11809.08,179546,8893220,30,2
11809.60,179755,8893228,30,2
11810.12,179964,8893228,30,2
11810.64,180174,8893228,30,2
11811.17,180384,8893228,30,2
11811.69,180592,8893228,30,2
11812.21,180802,8893240,30,2
11812.73,181010,8893240,30,2
11813.26,181221,8893240,30,2
11813.78,181429,8893240,30,2
11814.30,181638,8893248,30,2
11814.82,181848,8893248,30,2
11815.35,182057,8893256,30,2
11815.88,182269,8893256,30,2
11816.40,182478,8893256,30,2
11816.92,182689,8893256,30,2
11817.45,182898,8893256,30,2
11817.97,183106,8893256,30,2
11818.50,183319,8893264,30,2
11819.03,183533,8893264,30,2
11819.55,183743,8893280,30,2
11820.08,183951,8893284,30,2
11820.60,184161,8893284,30,2
11821.12,184370,8893284,30,2
11821.64,184580,8893284,30,2
11822.17,184790,8893292,30,2
11822.69,184999,8893300,30,2
11823.22,185211,8893300,30,2
11823.75,185423,8893300,30,2
11824.28,185634,8893300,30,2
11824.80,185844,8893316,30,2
