t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
11625.58,106542,8140372,30,2
11626.10,106642,8435780,30,2
11626.62,106850,8435780,30,2
11627.14,107059,8435780,30,2
11627.66,107267,8435780,30,2
11628.19,107475,8435780,30,2
11628.70,107683,8435780,30,2
11629.22,107891,8435780,30,2
11629.74,108099,8435780,30,2
11630.27,108307,8435780,30,2
11630.78,108515,8435780,30,2
11631.31,108725,8435780,30,2
11631.83,108932,8435780,30,2
11632.35,109140,8435780,30,2
11632.87,109348,8435780,30,2
11633.39,109556,8435780,30,2
11633.91,109766,8435780,30,2
11634.43,109974,8435780,30,2
11634.95,110182,8435780,30,2
11635.47,110390,8435780,30,2
11635.99,110598,8435780,30,2
11636.51,110806,8435780,30,2
11637.03,111014,8435780,30,2
11637.55,111222,8435780,30,2
11638.08,111432,8435780,30,2
11638.60,111640,8435780,30,2
11639.12,111849,8435780,30,2
11639.64,112057,8435780,30,2
11640.16,112267,8435780,30,2
11640.68,112475,8435780,30,2
11641.20,112683,8435780,30,2
11641.73,112891,8435780,30,2
11642.25,113100,8435780,30,2
11642.77,113308,8435780,30,2
11643.29,113516,8435780,30,2
11643.81,113726,8435780,30,2
11644.33,113934,8435780,30,2
11644.85,114142,8435780,30,2
11645.37,114350,8435780,30,2
11645.90,114559,8435780,30,2
11646.42,114767,8435780,30,2
11646.94,114975,8435780,30,2
11647.46,115184,8435780,30,2
11647.98,115392,8435780,30,2
11648.50,115600,8435780,30,2
11649.02,115808,8435780,30,2
11649.54,116015,8435780,30,2
11650.06,116225,8435780,30,2
11650.58,116433,8435780,30,2
11651.10,116643,8435780,30,2
11651.62,116851,8435780,30,2
11652.15,117059,8435780,30,2
11652.67,117266,8435780,30,2
11653.18,117474,8435780,30,2
11653.71,117682,8435780,30,2
11654.23,117892,8435780,30,2
11654.75,118100,8435780,30,2
11655.27,118308,8435780,30,2
11655.79,118516,8435780,30,2
11656.31,118724,8435780,30,2
11656.83,118934,8435780,30,2
11657.35,119140,8435780,30,2
11657.87,119349,8435780,30,2
11658.39,119557,8435780,30,2
11658.91,119765,8435780,30,2
11659.43,119973,8435780,30,2
11659.95,120181,8435780,30,2
11660.47,120389,8435780,30,2
11660.99,120597,8435780,30,2
11661.51,120805,8435780,30,2
11662.03,121013,8435780,30,2
11662.55,121221,8435780,30,2
11663.07,121429,8435780,30,2
11663.60,121639,8435780,30,2
11664.12,121847,8435780,30,2
11664.64,122055,8435780,30,2
11665.16,122263,8435780,30,2
11665.68,122472,8435780,30,2
11666.20,122680,8435780,30,2
11666.72,122888,8435780,30,2
11667.24,123096,8435780,30,2
11667.76,123304,8435780,30,2
