t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
11394.50,14248,7610828,30,2
11395.02,14448,7630952,30,2
11395.54,14658,7630952,30,2
11396.07,14866,7630952,30,2
11396.59,15076,7630952,30,2
11397.12,15286,7630952,30,2
11397.64,15496,7630952,30,2
11398.17,15707,7630952,30,2
11398.70,15919,7630952,30,2
11399.22,16128,7630952,30,2
11399.75,16341,7630960,30,2
11400.28,16552,7630960,30,2
11400.80,16763,7630960,30,2
11401.33,16974,7630968,30,2
11401.86,17184,7630968,30,2
11402.38,17395,7630968,30,2
11402.91,17605,7630976,30,2
11403.43,17815,7630976,30,2
11403.96,18027,7630976,30,2
11404.49,18236,7630976,30,2
11405.02,18449,7630976,30,2
11405.54,18659,7630980,30,2
11406.07,18871,7630980,30,2
11406.60,19081,7630984,30,2
11407.12,19291,7630984,30,2
11407.65,19502,7630988,30,2
11408.17,19713,7630996,30,2
11408.70,19924,7631000,30,2
11409.23,20134,7631000,30,2
