t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
11761.37,160593,8732880,30,2
11761.89,160770,8809380,30,2
11762.41,160980,8809380,30,2
11762.93,161186,8809380,30,2
11763.45,161396,8809380,30,2
11763.97,161604,8809380,30,2
11764.49,161812,8809380,30,2
11765.01,162020,8809380,30,2
11765.54,162228,8809380,30,2
11766.06,162436,8809380,30,2
11766.58,162644,8809380,30,2
11767.10,162852,8809380,30,2
11767.62,163061,8809380,30,2
11768.14,163269,8809388,30,2
11768.66,163479,8809388,30,2
11769.18,163687,8809388,30,2
11769.71,163897,8809388,30,2
11770.23,164107,8809388,30,2
11770.75,164316,8809388,30,2
11771.28,164526,8809388,30,2
11771.80,164734,8809388,30,2
11772.32,164943,8809388,30,2
11772.85,165155,8809388,30,2
11773.37,165365,8809388,30,2
11773.89,165573,8809388,30,2
11774.42,165783,8809388,30,2
11774.94,165992,8809388,30,2
11775.46,166201,8809396,30,2
11775.98,166410,8809396,30,2
11776.50,166619,8809396,30,2
11777.03,166827,8809396,30,2
11777.55,167038,8809396,30,2
11778.07,167246,8809396,30,2
11778.59,167454,8809400,30,2
11779.11,167663,8809400,30,2
11779.63,167872,8809400,30,2
11780.16,168081,8809400,30,2
11780.68,168291,8809404,30,2
11781.20,168502,8809408,30,2
11781.73,168712,8809408,30,2
11782.25,168920,8809416,30,2
11782.77,169130,8809416,30,2
11783.29,169338,8809416,30,2
11783.82,169548,8809416,30,2
11784.34,169758,8809416,30,2
11784.87,169969,8809500,30,2
11785.39,170180,8809500,30,2
11785.92,170390,8809540,30,2
11786.44,170601,8809580,30,2
11786.97,170810,8809580,30,2
11787.50,171021,8809580,30,2
11788.02,171233,8809580,30,2
11788.55,171445,8809580,30,2
11789.08,171654,8809580,30,2
11789.61,171866,8809580,30,2
11790.13,172077,8809580,30,2
11790.66,172288,8809588,30,2
