t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
11825.11,185894,8893328,30,2
11825.63,186067,8994036,30,2
11826.16,186275,8994036,30,2
11826.68,186483,8994036,30,2
11827.20,186692,8994036,30,2
11827.72,186900,8994036,30,2
11828.24,187110,8994036,30,2
11828.77,187318,8994036,30,2
11829.29,187528,8994036,30,2
11829.81,187737,8994036,30,2
11830.33,187945,8994036,30,2
11830.85,188153,8994036,30,2
11831.37,188361,8994036,30,2
11831.89,188569,8994036,30,2
11832.41,188777,8994036,30,2
11832.93,188985,8994036,30,2
11833.46,189195,8994036,30,2
11833.98,189402,8994036,30,2
11834.50,189610,8994036,30,2
11835.02,189818,8994036,30,2
11835.54,190026,8994036,30,2
11836.06,190234,8994036,30,2
11836.58,190442,8994036,30,2
11837.10,190650,8994036,30,2
11837.62,190858,8994036,30,2
11838.14,191066,8994036,30,2
11838.66,191276,8994036,30,2
11839.18,191484,8994036,30,2
11839.70,191692,8994036,30,2
11840.22,191901,8994036,30,2
11840.74,192109,8994036,30,2
11841.26,192317,8994036,30,2
11841.78,192525,8994036,30,2
11842.31,192733,8994036,30,2
11842.83,192943,8994036,30,2
11843.35,193152,8994036,30,2
11843.87,193360,8994036,30,2
11844.39,193568,8994036,30,2
11844.91,193776,8994036,30,2
11845.43,193984,8994036,30,2
11845.95,194192,8994036,30,2
11846.47,194400,8994036,30,2
11846.99,194608,8994036,30,2
11847.52,194819,8994036,30,2
11848.04,195027,8994036,30,2
11848.57,195238,8994036,30,2
11849.09,195448,8994036,30,2
11849.61,195654,8994036,30,2
11850.13,195862,8994036,30,2
11850.65,196073,8994036,30,2
11851.18,196281,8994036,30,2
11851.70,196490,8994036,30,2
11852.22,196698,8994036,30,2
11852.74,196906,8994036,30,2
11853.26,197114,8994036,30,2
11853.78,197322,8994036,30,2
11854.30,197530,8994036,30,2
11854.82,197739,8994036,30,2
11855.34,197947,8994036,30,2
11855.86,198155,8994036,30,2
11856.38,198365,8994036,30,2
11856.90,198573,8994036,30,2
11857.42,198781,8994036,30,2
11857.95,198989,8994036,30,2
11858.47,199198,8994036,30,2
11858.99,199406,8994036,30,2
11859.51,199614,8994036,30,2
11860.03,199824,8994036,30,2
11860.55,200032,8994036,30,2
11861.07,200240,8994036,30,2
11861.59,200448,8994036,30,2
11862.11,200656,8994036,30,2
11862.63,200864,8994036,30,2
11863.15,201072,8994036,30,2
11863.67,201280,8994036,30,2
11864.19,201488,8994036,30,2
11864.71,201695,8994036,30,2
11865.23,201903,8994036,30,2
11865.75,202111,8994036,30,2
11866.27,202319,8994036,30,2
11866.79,202527,8994036,30,2
11867.32,202737,8994036,30,2
11867.84,202945,8994036,30,2
11868.36,203153,8994036,30,2
11868.88,203361,8994036,30,2
11869.40,203569,8994036,30,2
11869.92,203779,8994036,30,2
11870.44,203987,8994036,30,2
11870.96,204195,8994036,30,2
11871.48,204403,8994036,30,2
11872.00,204611,8994036,30,2
11872.52,204819,8994036,30,2
11873.04,205027,8994036,30,2
11873.56,205235,8994036,30,2
11874.08,205445,8994036,30,2
11874.60,205653,8994036,30,2
11875.13,205862,8994036,30,2
11875.65,206070,8994036,30,2
11876.17,206278,8994036,30,2
11876.69,206488,8994036,30,2
11877.21,206696,8994036,30,2
11877.73,206904,8994036,30,2
11878.26,207113,8994036,30,2
11878.78,207323,8994036,30,2
11879.30,207531,8994036,30,2
11879.82,207740,8994036,30,2
11880.34,207948,8994036,30,2
11880.86,208156,8994036,30,2
11881.39,208364,8994036,30,2
11881.91,208572,8994036,30,2
11882.43,208781,8994036,30,2
11882.95,208989,8994036,30,2
11883.47,209199,8994036,30,2
11883.99,209407,8994036,30,2
11884.51,209615,8994036,30,2
11885.03,209823,8994036,30,2
11885.55,210031,8994036,30,2
11886.07,210239,8994036,30,2
11886.59,210447,8994036,30,2
11887.11,210655,8994036,30,2
11887.63,210864,8994036,30,2
11888.16,211072,8994036,30,2
11888.68,211280,8994036,30,2
11889.20,211490,8994036,30,2
11889.72,211698,8994036,30,2
11890.25,211907,8994036,30,2
11890.77,212117,8994036,30,2
11891.29,212325,8994036,30,2
11891.81,212535,8994036,30,2
11892.33,212743,8994040,30,2
11892.85,212951,8994040,30,2
11893.37,213160,8994040,30,2
11893.90,213368,8994040,30,2
11894.42,213576,8994040,30,2
11894.94,213784,8994040,30,2
11895.46,213994,8994040,30,2
11895.98,214202,8994040,30,2
11896.50,214411,8994040,30,2
11897.02,214619,8994040,30,2
11897.55,214827,8994040,30,2
11898.07,215037,8994040,30,2
11898.59,215245,8994040,30,2
11899.11,215453,8994040,30,2
11899.63,215662,8994040,30,2
11900.16,215872,8994040,30,2
11900.68,216081,8994040,30,2
11901.20,216289,8994040,30,2
11901.72,216497,8994040,30,2
11902.24,216705,8994040,30,2
11902.76,216914,8994040,30,2
11903.28,217122,8994040,30,2
11903.80,217330,8994040,30,2
11904.32,217538,8994040,30,2
11904.84,217746,8994040,30,2
11905.36,217954,8994040,30,2
11905.88,218162,8994040,30,2
11906.40,218370,8994040,30,2
11906.92,218578,8994040,30,2
11907.44,218786,8994040,30,2
11907.97,218996,8994040,30,2
11908.49,219204,8994040,30,2
11909.01,219414,8994040,30,2
11909.53,219622,8994040,30,2
11910.06,219831,8994040,30,2
11910.58,220041,8994040,30,2
11911.10,220249,8994040,30,2
11911.62,220457,8994040,30,2
11912.14,220665,8994040,30,2
11912.66,220873,8994040,30,2
11913.18,221081,8994040,30,2
11913.70,221290,8994040,30,2
11914.23,221498,8994040,30,2
11914.75,221706,8994040,30,2
11915.27,221914,8994040,30,2
11915.79,222124,8994040,30,2
11916.31,222332,8994040,30,2
11916.83,222540,8994040,30,2
11917.35,222749,8994040,30,2
11917.87,222957,8994040,30,2
11918.39,223165,8994040,30,2
11918.91,223373,8994040,30,2
11919.43,223581,8994040,30,2
11919.95,223789,8994040,30,2
11920.48,223999,8994040,30,2
11921.00,224207,8994040,30,2
11921.52,224415,8994040,30,2
11922.03,224623,8994040,30,2
11922.55,224831,8994040,30,2
11923.08,225039,8994040,30,2
11923.60,225248,8994040,30,2
11924.12,225456,8994040,30,2
11924.64,225664,8994040,30,2
11925.17,225874,8994040,30,2
11925.69,226083,8994040,30,2
11926.21,226291,8994040,30,2
11926.73,226499,8994040,30,2
11927.25,226707,8994040,30,2
11927.77,226915,8994040,30,2
