t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
13057.52,62256,10217944,30,2
13058.05,62388,10513896,30,2
13058.57,62596,10513896,30,2
13059.09,62803,10513896,30,2
13059.61,63011,10513896,30,2
13060.13,63221,10513896,30,2
13060.65,63429,10513896,30,2
13061.17,63637,10513896,30,2
13061.69,63845,10513896,30,2
13062.21,64053,10513896,30,2
13062.73,64261,10513896,30,2
13063.25,64470,10513896,30,2
13063.78,64678,10513896,30,2
13064.30,64888,10513896,30,2
13064.82,65096,10513896,30,2
13065.34,65304,10513896,30,2
13065.86,65512,10513896,30,2
13066.38,65720,10513896,30,2
13066.90,65929,10513896,30,2
13067.42,66137,10513896,30,2
13067.94,66345,10513896,30,2
13068.46,66553,10513896,30,2
13068.99,66761,10513896,30,2
13069.51,66971,10513896,30,2
13070.03,67179,10513896,30,2
13070.55,67385,10513896,30,2
13071.07,67595,10513896,30,2
13071.59,67803,10513896,30,2
13072.11,68011,10513896,30,2
13072.63,68219,10513896,30,2
13073.15,68427,10513896,30,2
13073.67,68635,10513896,30,2
13074.19,68843,10513896,30,2
13074.71,69051,10513896,30,2
13075.23,69261,10513896,30,2
13075.75,69469,10513896,30,2
13076.27,69678,10513896,30,2
13076.79,69886,10513896,30,2
13077.31,70094,10513896,30,2
13077.84,70302,10513896,30,2
13078.36,70510,10513896,30,2
13078.88,70720,10513896,30,2
13079.40,70929,10513896,30,2
13079.92,71137,10513896,30,2
13080.44,71345,10513896,30,2
13080.96,71553,10513896,30,2
13081.48,71761,10513896,30,2
13082.00,71969,10513896,30,2
13082.53,72177,10513896,30,2
13083.05,72387,10513896,30,2
13083.57,72595,10513896,30,2
13084.09,72803,10513896,30,2
13084.61,73011,10513896,30,2
13085.13,73219,10513896,30,2
13085.65,73428,10513896,30,2
13086.17,73636,10513896,30,2
13086.69,73844,10513896,30,2
13087.21,74052,10513896,30,2
13087.73,74260,10513896,30,2
13088.25,74468,10513900,30,2
13088.77,74676,10513900,30,2
13089.29,74886,10513900,30,2
13089.82,75094,10513900,30,2
13090.34,75301,10513900,30,2
13090.86,75509,10513900,30,2
13091.38,75717,10513900,30,2
13091.90,75925,10513900,30,2
13092.42,76133,10513900,30,2
13092.94,76341,10513900,30,2
13093.46,76551,10513900,30,2
13093.98,76759,10513900,30,2
13094.50,76967,10513948,30,2
13095.02,77175,10513948,30,2
13095.54,77383,10513948,30,2
13096.06,77591,10513948,30,2
13096.58,77799,10513948,30,2
13097.10,78007,10513948,30,2
13097.62,78214,10513948,30,2
13098.14,78422,10513948,30,2
13098.66,78630,10513948,30,2
13099.18,78838,10513948,30,2
13099.70,79048,10513948,30,2
13100.22,79256,10513948,30,2
13100.75,79464,10513948,30,2
13101.27,79674,10513948,30,2
13101.79,79882,10513948,30,2
13102.31,80089,10513948,30,2
13102.83,80297,10513948,30,2
13103.35,80505,10513948,30,2
13103.87,80713,10513948,30,2
13104.39,80921,10513948,30,2
13104.91,81131,10513948,30,2
13105.43,81337,10513948,30,2
13105.95,81547,10513948,30,2
13106.47,81756,10513948,30,2
13106.99,81964,10513948,30,2
13107.52,82172,10513948,30,2
13108.04,82380,10513948,30,2
13108.56,82588,10513948,30,2
13109.08,82798,10513948,30,2
13109.60,83006,10513948,30,2
13110.12,83214,10513948,30,2
13110.64,83423,10513948,30,2
13111.16,83631,10513948,30,2
13111.68,83839,10513948,30,2
13112.20,84047,10513948,30,2
13112.72,84255,10513948,30,2
13113.24,84463,10513948,30,2
13113.77,84671,10513948,30,2
13114.29,84880,10513948,30,2
13114.81,85088,10513948,30,2
13115.33,85296,10513948,30,2
13115.85,85506,10513948,30,2
13116.37,85714,10513948,30,2
13116.89,85920,10513948,30,2
13117.41,86128,10513948,30,2
13117.93,86338,10513948,30,2
13118.45,86546,10513948,30,2
13118.97,86754,10513948,30,2
13119.49,86962,10513948,30,2
13120.01,87170,10513948,30,2
13120.53,87378,10513948,30,2
13121.05,87586,10513948,30,2
13121.57,87795,10513948,30,2
13122.09,88003,10513948,30,2
13122.62,88213,10513948,30,2
13123.14,88421,10513948,30,2
13123.66,88629,10513948,30,2
13124.19,88838,10515728,30,2
13124.71,89050,10515736,30,2
13125.24,89261,10515736,30,2
13125.77,89473,10515736,30,2
13126.29,89683,10515736,30,2
13126.82,89894,10515736,30,2
13127.35,90105,10515736,30,2
13127.87,90315,10515736,30,2
13128.40,90524,10515736,30,2
13128.92,90736,10515736,30,2
