t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
12177.67,326817,8993216,30,2
12178.19,326872,9729480,30,2
12178.86,326919,9906020,30,2
12179.39,326946,9935700,30,2
12179.92,327157,9935204,30,2
12180.45,327367,9935204,30,2
12180.97,327576,9935204,30,2
12181.49,327786,9935204,30,2
12182.01,327994,9935204,30,2
12182.54,328203,9935204,30,2
12183.06,328411,9935204,30,2
12183.58,328619,9935204,30,2
12184.10,328827,9935204,30,2
12184.62,329037,9935204,30,2
12185.14,329245,9935204,30,2
12185.67,329454,9935204,30,2
12186.19,329664,9935204,30,2
12186.71,329872,9935204,30,2
12187.23,330081,9935204,30,2
12187.75,330289,9935204,30,2
12188.27,330497,9935204,30,2
12188.79,330705,9935204,30,2
12189.31,330913,9935204,30,2
12189.83,331121,9935204,30,2
12190.35,331329,9935204,30,2
12190.89,331544,9921864,30,2
12191.41,331753,9921864,30,2
12191.93,331961,9921864,30,2
12192.45,332169,9921864,30,2
12192.97,332379,9921864,30,2
12193.50,332588,9921864,30,2
12194.02,332796,9921864,30,2
12194.54,333006,9918292,30,2
12195.07,333214,9918292,30,2
12195.59,333422,9918292,30,2
12196.11,333631,9918292,30,2
12196.63,333840,9918292,30,2
12197.15,334048,9918292,30,2
12197.67,334256,9918292,30,2
12198.19,334464,9918292,30,2
12198.71,334672,9918292,30,2
12199.23,334881,9918292,30,2
12199.75,335089,9918292,30,2
12200.28,335299,9918292,30,2
12200.80,335507,9906236,30,2
12201.32,335716,9906236,30,2
12201.84,335924,9906236,30,2
12202.36,336132,9906236,30,2
12202.89,336345,9906236,30,2
12203.41,336553,9906236,30,2
12203.93,336761,9906236,30,2
12204.45,336970,9906236,30,2
12204.98,337178,9906236,30,2
12205.50,337386,9906236,30,2
12206.02,337594,9906236,30,2
12206.54,337802,9906236,30,2
12207.06,338010,9906236,30,2
12207.58,338218,9906236,30,2
12208.10,338426,9906236,30,2
12208.62,338636,9906236,30,2
12209.14,338846,9906236,30,2
12209.66,339054,9894976,30,2
12210.18,339262,9894976,30,2
12210.70,339470,9894976,30,2
12211.22,339678,9894976,30,2
12211.74,339886,9894976,30,2
12212.27,340095,9894976,30,2
12212.79,340303,9894976,30,2
12213.31,340513,9894976,30,2
12213.84,340722,9894976,30,2
12214.36,340930,9894976,30,2
12214.88,341141,9894976,30,2
12215.40,341349,9894976,30,2
12215.93,341557,9894976,30,2
12216.45,341767,9895020,30,2
12216.97,341975,9895020,30,2
12217.49,342184,9895020,30,2
12218.01,342392,9895020,30,2
12218.53,342600,9895020,30,2
12219.05,342808,9895020,30,2
12219.57,343016,9895020,30,2
12220.10,343226,9895020,30,2
12220.62,343434,9895020,30,2
12221.14,343642,9895020,30,2
12221.66,343851,9895020,30,2
12222.18,344059,9895020,30,2
12222.70,344268,9883460,30,2
12223.22,344476,9883460,30,2
12223.74,344684,9883460,30,2
12224.26,344892,9883460,30,2
12224.78,345100,9883460,30,2
12225.30,345308,9883460,30,2
12225.82,345517,9883460,30,2
12226.34,345725,9883460,30,2
12226.86,345933,9883460,30,2
12227.38,346141,9883460,30,2
12227.91,346349,9883460,30,2
12228.43,346559,9883460,30,2
12228.95,346767,9883460,30,2
